,avaccine,cumulative_avaccine,date_vaccine_administered,province,date
0,0,0,14-12-2020,Alberta,2020-12-14
1,20,20,15-12-2020,Alberta,2020-12-15
2,0,20,16-12-2020,Alberta,2020-12-16
3,374,394,17-12-2020,Alberta,2020-12-17
4,0,394,18-12-2020,Alberta,2020-12-18
5,0,394,19-12-2020,Alberta,2020-12-19
6,1754,2148,20-12-2020,Alberta,2020-12-20
7,0,2148,21-12-2020,Alberta,2020-12-21
8,926,3074,22-12-2020,Alberta,2020-12-22
9,562,3636,23-12-2020,Alberta,2020-12-23
10,1075,4711,24-12-2020,Alberta,2020-12-24
11,0,4711,25-12-2020,Alberta,2020-12-25
12,0,4711,26-12-2020,Alberta,2020-12-26
13,0,4711,27-12-2020,Alberta,2020-12-27
14,1305,6016,28-12-2020,Alberta,2020-12-28
15,486,6502,29-12-2020,Alberta,2020-12-29
16,2042,8544,30-12-2020,Alberta,2020-12-30
17,2558,11102,31-12-2020,Alberta,2020-12-31
18,3142,14244,01-01-2021,Alberta,2021-01-01
19,3000,17244,02-01-2021,Alberta,2021-01-02
20,0,17244,03-01-2021,Alberta,2021-01-03
21,5617,22861,04-01-2021,Alberta,2021-01-04
22,3408,26269,05-01-2021,Alberta,2021-01-05
23,3764,30033,06-01-2021,Alberta,2021-01-06
24,3831,33864,07-01-2021,Alberta,2021-01-07
25,3822,37686,08-01-2021,Alberta,2021-01-08
26,4647,42333,09-01-2021,Alberta,2021-01-09
27,2661,44994,10-01-2021,Alberta,2021-01-10
28,1797,46791,11-01-2021,Alberta,2021-01-11
29,5527,52318,12-01-2021,Alberta,2021-01-12
30,5826,58144,13-01-2021,Alberta,2021-01-13
31,8809,66953,14-01-2021,Alberta,2021-01-14
32,7157,74110,15-01-2021,Alberta,2021-01-15
33,7451,81561,16-01-2021,Alberta,2021-01-16
34,4374,85935,17-01-2021,Alberta,2021-01-17
35,3879,89814,18-01-2021,Alberta,2021-01-18
36,2501,92315,19-01-2021,Alberta,2021-01-19
37,2928,95243,20-01-2021,Alberta,2021-01-20
38,1263,96506,21-01-2021,Alberta,2021-01-21
39,1279,97785,22-01-2021,Alberta,2021-01-22
40,0,0,14-12-2020,BC,2020-12-14
41,409,409,15-12-2020,BC,2020-12-15
42,0,409,16-12-2020,BC,2020-12-16
43,806,1215,17-12-2020,BC,2020-12-17
44,1377,2592,18-12-2020,BC,2020-12-18
45,0,2592,19-12-2020,BC,2020-12-19
46,0,2592,20-12-2020,BC,2020-12-20
47,1052,3644,21-12-2020,BC,2020-12-21
48,464,4108,22-12-2020,BC,2020-12-22
49,1495,5603,23-12-2020,BC,2020-12-23
50,2575,8178,24-12-2020,BC,2020-12-24
51,0,8178,25-12-2020,BC,2020-12-25
52,0,8178,26-12-2020,BC,2020-12-26
53,0,8178,27-12-2020,BC,2020-12-27
54,0,8178,28-12-2020,BC,2020-12-28
55,3752,11930,29-12-2020,BC,2020-12-29
56,2097,14027,30-12-2020,BC,2020-12-30
57,3483,17510,31-12-2020,BC,2020-12-31
58,0,17510,01-01-2021,BC,2021-01-01
59,0,17510,02-01-2021,BC,2021-01-02
60,0,17510,03-01-2021,BC,2021-01-03
61,6629,24139,04-01-2021,BC,2021-01-04
62,4070,28209,05-01-2021,BC,2021-01-05
63,5456,33665,06-01-2021,BC,2021-01-06
64,7399,41064,07-01-2021,BC,2021-01-07
65,5195,46259,08-01-2021,BC,2021-01-08
66,0,46259,09-01-2021,BC,2021-01-09
67,0,46259,10-01-2021,BC,2021-01-10
68,13643,59902,11-01-2021,BC,2021-01-11
69,2392,62294,12-01-2021,BC,2021-01-12
70,1136,63430,13-01-2021,BC,2021-01-13
71,6316,69746,14-01-2021,BC,2021-01-14
72,6168,75914,15-01-2021,BC,2021-01-15
73,0,75914,16-01-2021,BC,2021-01-16
74,0,75914,17-01-2021,BC,2021-01-17
75,11432,87346,18-01-2021,BC,2021-01-18
76,5023,92369,19-01-2021,BC,2021-01-19
77,5756,98125,20-01-2021,BC,2021-01-20
78,6776,104901,21-01-2021,BC,2021-01-21
79,5665,110566,22-01-2021,BC,2021-01-22
80,0,0,14-12-2020,Manitoba,2020-12-14
81,0,0,15-12-2020,Manitoba,2020-12-15
82,302,302,16-12-2020,Manitoba,2020-12-16
83,0,302,17-12-2020,Manitoba,2020-12-17
84,291,593,18-12-2020,Manitoba,2020-12-18
85,0,593,19-12-2020,Manitoba,2020-12-19
86,0,593,20-12-2020,Manitoba,2020-12-20
87,301,894,21-12-2020,Manitoba,2020-12-21
88,298,1192,22-12-2020,Manitoba,2020-12-22
89,495,1687,23-12-2020,Manitoba,2020-12-23
90,490,2177,24-12-2020,Manitoba,2020-12-24
91,0,2177,25-12-2020,Manitoba,2020-12-25
92,0,2177,26-12-2020,Manitoba,2020-12-26
93,0,2177,27-12-2020,Manitoba,2020-12-27
94,0,2177,28-12-2020,Manitoba,2020-12-28
95,300,2477,29-12-2020,Manitoba,2020-12-29
96,423,2900,30-12-2020,Manitoba,2020-12-30
97,500,3400,31-12-2020,Manitoba,2020-12-31
98,0,3400,01-01-2021,Manitoba,2021-01-01
99,32,3432,02-01-2021,Manitoba,2021-01-02
100,0,3432,03-01-2021,Manitoba,2021-01-03
101,10,3442,04-01-2021,Manitoba,2021-01-04
102,850,4292,05-01-2021,Manitoba,2021-01-05
103,873,5165,06-01-2021,Manitoba,2021-01-06
104,1163,6328,07-01-2021,Manitoba,2021-01-07
105,1156,7484,08-01-2021,Manitoba,2021-01-08
106,1190,8674,09-01-2021,Manitoba,2021-01-09
107,824,9498,10-01-2021,Manitoba,2021-01-10
108,855,10353,11-01-2021,Manitoba,2021-01-11
109,0,10353,12-01-2021,Manitoba,2021-01-12
110,2056,12409,13-01-2021,Manitoba,2021-01-13
111,0,12409,14-01-2021,Manitoba,2021-01-14
112,1130,13539,15-01-2021,Manitoba,2021-01-15
113,0,13539,16-01-2021,Manitoba,2021-01-16
114,0,13539,17-01-2021,Manitoba,2021-01-17
115,4212,17751,18-01-2021,Manitoba,2021-01-18
116,0,17751,19-01-2021,Manitoba,2021-01-19
117,4614,22365,20-01-2021,Manitoba,2021-01-20
118,1519,23884,21-01-2021,Manitoba,2021-01-21
119,1954,25838,22-01-2021,Manitoba,2021-01-22
120,0,0,14-12-2020,New Brunswick,2020-12-14
121,0,0,15-12-2020,New Brunswick,2020-12-15
122,0,0,16-12-2020,New Brunswick,2020-12-16
123,0,0,17-12-2020,New Brunswick,2020-12-17
124,0,0,18-12-2020,New Brunswick,2020-12-18
125,5,5,19-12-2020,New Brunswick,2020-12-19
126,0,5,20-12-2020,New Brunswick,2020-12-20
127,1866,1871,21-12-2020,New Brunswick,2020-12-21
128,0,1871,22-12-2020,New Brunswick,2020-12-22
129,0,1871,23-12-2020,New Brunswick,2020-12-23
130,0,1871,24-12-2020,New Brunswick,2020-12-24
131,0,1871,25-12-2020,New Brunswick,2020-12-25
132,0,1871,26-12-2020,New Brunswick,2020-12-26
133,0,1871,27-12-2020,New Brunswick,2020-12-27
134,1034,2905,28-12-2020,New Brunswick,2020-12-28
135,0,2905,29-12-2020,New Brunswick,2020-12-29
136,0,2905,30-12-2020,New Brunswick,2020-12-30
137,0,2905,31-12-2020,New Brunswick,2020-12-31
138,0,2905,01-01-2021,New Brunswick,2021-01-01
139,0,2905,02-01-2021,New Brunswick,2021-01-02
140,0,2905,03-01-2021,New Brunswick,2021-01-03
141,0,2905,04-01-2021,New Brunswick,2021-01-04
142,0,2905,05-01-2021,New Brunswick,2021-01-05
143,1200,4105,06-01-2021,New Brunswick,2021-01-06
144,914,5019,07-01-2021,New Brunswick,2021-01-07
145,0,5019,08-01-2021,New Brunswick,2021-01-08
146,0,5019,09-01-2021,New Brunswick,2021-01-09
147,0,5019,10-01-2021,New Brunswick,2021-01-10
148,2713,7732,11-01-2021,New Brunswick,2021-01-11
149,0,7732,12-01-2021,New Brunswick,2021-01-12
150,0,7732,13-01-2021,New Brunswick,2021-01-13
151,0,7732,14-01-2021,New Brunswick,2021-01-14
152,0,7732,15-01-2021,New Brunswick,2021-01-15
153,0,7732,16-01-2021,New Brunswick,2021-01-16
